TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean mcg/m3
Winter 2022-23,CD,101,6,Financial District (CD1),6.9,7.8,7.4
Winter 2022-23,CD,102,6,Greenwich Village and Soho (CD2),7.7,9.1,8.4
Winter 2022-23,CD,103,6,Lower East Side and Chinatown (CD3),6.4,8.5,7.4
Winter 2022-23,CD,104,6,Clinton and Chelsea (CD4),6.9,8.9,7.9
Winter 2022-23,CD,105,6,Midtown (CD5),8.2,9.4,9.0
Winter 2022-23,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),6.9,8.5,7.6
Winter 2022-23,CD,107,6,Upper West Side (CD7),6.3,6.6,6.4
Winter 2022-23,CD,108,6,Upper East Side (CD8),6.4,7.0,6.7
Winter 2022-23,CD,109,6,Morningside Heights and Hamilton Heights (CD9),6.4,6.8,6.6
Winter 2022-23,CD,110,6,Central Harlem (CD10),6.5,6.7,6.6
Winter 2022-23,CD,111,6,East Harlem (CD11),6.4,6.7,6.5
Winter 2022-23,CD,112,6,Washington Heights and Inwood (CD12),6.5,7.0,6.7
Winter 2022-23,CD,201,6,Mott Haven and Melrose (CD1),6.3,7.1,6.6
Winter 2022-23,CD,202,6,Hunts Point and Longwood (CD2),6.8,7.3,7.0
Winter 2022-23,CD,203,6,Morrisania and Crotona (CD3),6.6,6.9,6.8
Winter 2022-23,CD,204,6,Highbridge and Concourse (CD4),6.3,6.7,6.5
Winter 2022-23,CD,205,6,Fordham and University Heights (CD5),6.4,6.9,6.6
Winter 2022-23,CD,206,6,Belmont and East Tremont (CD6),6.6,6.9,6.8
Winter 2022-23,CD,207,6,Kingsbridge Heights and Bedford (CD7),6.6,6.7,6.7
Winter 2022-23,CD,208,6,Riverdale and Fieldston (CD8),6.4,6.7,6.6
Winter 2022-23,CD,209,6,Parkchester and Soundview (CD9),6.3,6.9,6.6
Winter 2022-23,CD,210,6,Throgs Neck and Co-op City (CD10),6.1,6.9,6.4
Winter 2022-23,CD,211,6,Morris Park and Bronxdale (CD11),6.4,6.9,6.6
Winter 2022-23,CD,212,6,Williamsbridge and Baychester (CD12),6.5,6.7,6.6
Winter 2022-23,CD,301,6,Greenpoint and Williamsburg (CD1),6.7,7.4,7.0
Winter 2022-23,CD,302,6,Fort Greene and Brooklyn Heights (CD2),6.5,7.1,6.8
Winter 2022-23,CD,303,6,Bedford Stuyvesant (CD3),6.3,7.1,6.6
Winter 2022-23,CD,304,6,Bushwick (CD4),6.4,7.4,6.8
Winter 2022-23,CD,305,6,East New York and Starrett City (CD5),5.8,6.5,6.2
Winter 2022-23,CD,306,6,Park Slope and Carroll Gardens (CD6),6.4,7.2,6.8
Winter 2022-23,CD,307,6,Sunset Park (CD7),6.0,7.3,6.6
Winter 2022-23,CD,308,6,Crown Heights and Prospect Heights (CD8),6.4,6.9,6.6
Winter 2022-23,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),6.1,6.3,6.2
Winter 2022-23,CD,310,6,Bay Ridge and Dyker Heights (CD10),5.8,6.5,6.1
Winter 2022-23,CD,311,6,Bensonhurst (CD11),5.8,6.1,5.9
Winter 2022-23,CD,312,6,Borough Park (CD12),6.0,6.3,6.2
Winter 2022-23,CD,313,6,Coney Island (CD13),5.6,5.9,5.8
Winter 2022-23,CD,314,6,Flatbush and Midwood (CD14),5.9,6.3,6.1
Winter 2022-23,CD,315,6,Sheepshead Bay (CD15),5.6,6.0,5.8
Winter 2022-23,CD,316,6,Brownsville (CD16),6.1,6.5,6.3
Winter 2022-23,CD,317,6,East Flatbush (CD17),6.0,6.4,6.2
Winter 2022-23,CD,318,6,Flatlands and Canarsie (CD18),5.5,6.2,5.8
Winter 2022-23,CD,401,6,Long Island City and Astoria (CD1),6.0,7.1,6.6
Winter 2022-23,CD,402,6,Woodside and Sunnyside (CD2),6.6,7.3,7.0
Winter 2022-23,CD,403,6,Jackson Heights (CD3),6.1,6.9,6.4
Winter 2022-23,CD,404,6,Elmhurst and Corona (CD4),6.3,7.0,6.6
Winter 2022-23,CD,405,6,Ridgewood and Maspeth (CD5),5.9,7.1,6.5
Winter 2022-23,CD,406,6,Rego Park and Forest Hills (CD6),6.0,6.2,6.1
Winter 2022-23,CD,407,6,Flushing and Whitestone (CD7),5.9,6.8,6.3
Winter 2022-23,CD,408,6,Hillcrest and Fresh Meadows (CD8),5.7,6.0,5.9
Winter 2022-23,CD,409,6,Kew Gardens and Woodhaven (CD9),6.0,6.4,6.2
Winter 2022-23,CD,410,6,South Ozone Park and Howard Beach (CD10),5.7,6.0,5.8
